Nome,Vendedor,Preço,Frete,Link da oferta
Smart Tv LG Led 55 55ut801c0sa 4k Ultra Hd Thinq Ai Webos 24 100v/240v,Por Vikings,"R$ 4.298,90",Frete grátis,https://www.mercadolivre.com.br/smart-tv-lg-led-55-55ut801c0sa-4k-ultra-hd-thinq-ai-webos-24-100v240v/p/MLB44672028?pdp_filters=item_id%3AMLB3931220705#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=1&tracking_id=&wid=MLB3931220705&sid=offers
Console Playstation 5 Midia Fisica Slim Branco 1tb Returnal E Ratchet E Clank Controle Sem Fio Dualsense Branco,vendedor nao identificado,"R$ 5.265,90",Chegará grátis amanhã,https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-slim-branco-1tb-returnal-e-ratchet-e-clank-controle-sem-fio-dualsense-branco/p/MLB39459985?pdp_filters=item_id%3AMLB3660928281#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=2&tracking_id=&wid=MLB3660928281&sid=offers
Creatina Monohidratada Em Pote 3000mg 100% Pura Dark Lab,Por Dark Lab,"R$ 78,90",,https://www.mercadolivre.com.br/creatina-monohidratada-em-pote-3000mg-100-pura-dark-lab/p/MLB19506691?pdp_filters=item_id%3AMLB3817089255#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=3&tracking_id=&wid=MLB3817089255&sid=offers
Kit Wella Pro Invigo Enrich Sh 250 Ml + Masc 150 Ml,Por Amobeleza,"R$ 297,90",Frete grátis,https://produto.mercadolivre.com.br/MLB-2161260967-kit-wella-pro-invigo-enrich-sh-250-ml-masc-150-ml-_JM#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=4&tracking_id=&wid=MLB2161260967&sid=offers
Liquidificador Série 3000 Turbo Philips Walita Hr2271 1200w Cor Preto 110v,Por 123 Comprou,"R$ 316,50",Frete grátis,https://www.mercadolivre.com.br/liquidificador-serie-3000-turbo-philips-walita-hr2271-1200w-cor-preto-110v/p/MLB39304424?pdp_filters=item_id%3AMLB3994905427#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=5&tracking_id=&wid=MLB3994905427&sid=offers
Fone De Ouvido Headphone Dapon H02d Bluetooth 5.1 Com Microfone Cor Preto,vendedor nao identificado,"R$ 144,90",,https://www.mercadolivre.com.br/fone-de-ouvido-headphone-dapon-h02d-bluetooth-51-com-microfone-cor-preto/p/MLB24117280?pdp_filters=item_id%3AMLB3934867789#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=6&tracking_id=&wid=MLB3934867789&sid=offers
Creatina Pó 100% Pura Monohidratada Espartanos 1kg Aprovada Sabor Neutro,Por Espartanos Oficial,"R$ 199,90",Frete grátis,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=YxmkSOX8CcObpu3iBQ7vxaBXyighjTKIJ7iHivttyAbhw%2BqqIZyJ%2Bz0%2BkgMkbeAxZZ6m95fJWzBh17FsPKe78d%2Fhbc69Eq3%2B0P9gzI5OrpFFIzBlQdXINR1de%2FWT1eT9s6dl0KdcIL1gIV0gyq%2BYNKa3sEgaF8hCowuP%2FgmRd%2BsMfBuolwXyJoVhlydpH2kL8IUwnFpPlHbOU%2F4%2B3Q5E3csfp5WGQjnk4oZB4oDh%2BP0GhwR1FAHx6A0AWSXGyWjw%2Be1%2FcIgnstOsKONjgv7VFsvixG3ovh7FyIqr4ZvwTurI81o3n167C%2B9VCsSWZv61%2FTjNScIJ14%2Fc24beAURlU1vkolaJauC9GVGUuHGgPfN%2FGbKrGbtBF4yyeA4o3SysFtM365GYnk0ABMm0YjSM3AP5IWPFntTlK9hfEJfn0pMDZN21nfKgv%2FoIf2gPsU0G4J%2FASPtgyZ2mT1UMU80oIQAoMdJ%2BAi%2BmNC7U%2FAd9UUn3dw4hfPmHuHfyRdIVBr6j%2FcnRM2s94B6DDsPaOkZTQms5IG99ptKLot9jp5sQ9tkXpIrnYfxMj%2FLodNGSAPBDglXZ%2Fit8a7l6%2BZV8ozQO4%2BQfA1v7DzC%2FNhHiqHssLlxRNfmEjqpfpBniKJWNp2I5VrkOPa%2FHmGf5dr71HmBmQQA1qomL2zMFEsZN0CHi6TCe2oFtJ10t0LVTjzhmlhd0HYe6IZW0XXZI2XoeAmh3AaXZ5OaYHDmqT9N2UblzWl0zbRIy0Agxpwv0eR%2B3jd5m15CJY1GlFW7Js1AEFKpgSvcbBVtOv3zJq7b3LtfTOajirochSLDExfHW9yOQDY6DSpoaoihRTaO7yAM1HIyzNedLjvEl0uSwco25W6xN5Nwd%2FaxyNxSXigJ7W5w%2BE8rdJYRFi4%2FSHYe0Dy6FScfU5tqNy9IvagMMV4UtCAugbwaqhNKyGwPaUJAwtdrFg7Ook7ujmYNRb88mFGm1CKjFMgvEPCBlVdlVBhIYanqFZlv9Puio5kTqt5yK&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmore-ads-migration-offers%2B80261%2Cmclics%2Fdynamic-yield-factor%2B73918%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fgmv-predictor%2B52393%2Cmclics%2Fmore-ads-migration%2B58320%2Cmclics%2Fdiscard-bid-lt-min%2B45363#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=7&tracking_id=&wid=MLB4106511370&sid=offers
Smart Tv LG 43lr671c0sa.awz 43 Led,Por 2Eletro,"R$ 2.110,63",Frete grátis,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=V8UmEpjT8effMA1w83XwlQV5bhP5zDju0TTWm%2BSt3GBiAMk2zAtGeDAZhBJrGuMC9RhI%2BU1%2BwQt3FN7ICxdFMU8wbRJ%2BQr4FjiFSOLrHHNj2SzCCtjhnXf19OpgOH1U9Hd2w3rVpLrINHebfGtTo0UGOf940cwe0qxOyMCaA27Dm8Wink4pId5pNlIDYSbd498mAKXLE0lwlK%2BFACyavOF95uKguHX%2FDjfZx2g8sxjOaRzSYgbZLu1%2FSslPY%2B9JRfT2jYwG8YaXGgoe5JIoOtAHE5z8Rn%2FmiiljjCxbYRqHUz%2BFzUvyLmyZKTwC%2BW16FAHRhv4cFEdkXMGDhafKD8x2QGlsSid9RmBEoSue4KHSGN6Jij3q%2F7TL%2BtIE8erDWtOWhukxuW%2Bpb04inUOwUBrPYZvcXvFhdK1cQBbSndwQkmNMcfnNGutOi5hN1B6r3Xv3Yy%2BamGVMfGv1lKcBKVMoHePQbPO8iln6enxhSKVbP3Rvieh9bkwooHuYpGsIV5VJF6%2BUJMJznmuHBorEV1hSY51fw5wLfLZAitizxO6JJNa1AFkW5DzR3SgLg3nMRpasAL7P0Br8TS1Va1TRDcxhkw03Ae4NiluV5HwCMfqFUjP2AZzJY2z8k61ktKXYhT9Etjp%2BwGvFTxVUOI6JF5Efk87hvvNYzPeS85EbhXyDLoEdAuiE%2BtW6NbqIiRFodPwxctJYwVS%2Bn6f3sQ8pawR653xyqFWGMHbotLP0ZK%2BIQ7pVsYgW4kaqGO7lyGImwNfxpZQzwT6jIDUeDRvGxvK03qeqItqlbXCreBcHdKrj3jpmN3B8TFdibXSqUVKj7lIST4GNmaczL0fN%2FjGoMX2YXAMcY7yJd1aaZzmHmEmkVM8ZsuCh1Anqexk6OoVgeRvPyBxIt57N%2B3qA4Xe72gau5Np%2FXPAicR8o9uOSbvxfkGkmxTq7ekj3ZfiRTcN6Hnd4%3D&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmore-ads-migration-offers%2B80261%2Cmclics%2Fdynamic-yield-factor%2B73918%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fgmv-predictor%2B52393%2Cmclics%2Fmore-ads-migration%2B58320%2Cmclics%2Fdiscard-bid-lt-min%2B45363#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=8&tracking_id=&wid=MLB5093747834&sid=offers
Fone De Ouvido Qcy T13 Com 4 Microfones E Bluetooth 5.1 Cor Preto,vendedor nao identificado,"R$ 235,43",Frete grátis,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Icxew0H31WzyLOSHRzy3hqymfptbbtVzQcLYwI3Jq%2BnTopaqvU6RHSvnBxy3rCz9Z5ksllmg618B386u%2FGTCAglMmNGt83LIzx8oSGRkvM1MtZQWfcFKWNTc4UaG%2FA0pgTi6ty4ROojcQYNn6C46yRfo4Mk3Q1%2FrcZYiieODXqAKuYkas7VQerMd9ZiymR380eDJ1sgiR64ksZTY1EStOICM3G6wigApNGRpyX4sicD9eGkD3AoqkTUzAPCbxR%2BheSVHX68xPGW99BB4tbI45yf%2FdTHyq0zh7XsC1Eg4eDAETidmmR%2BD9okKXUENXZ7RT1oVPVHFczfTGKeeIuwA4mXbwVt2Z%2BMglNPo6oT%2FVAISp0EgWbmqqUFLgPADV6FNGfj8Y5SUTn2FX4YFsK43LwFxYZ1TgljrP2OWMyRwzl8B7FcerXYXYEFO%2Foyn2kMZylUh%2FkDwsaMO%2FLdO87lhdqmb8fi1dYzwXW4zFgIRC%2Fgy6OhT5iQ5bKW1RrVRd7igdOZZLbyib9WNzQvcvwPbTk5KAHUDXCI55Nzr2pPFdCkVjfX4MZNGdwWl6q%2ByOrsbiNRsCN55OPxYcgqkh31Xf98Lx29c5wTmAdQds%2BxzwAZ5iIr1fDcHdyeFyWSy2IFirdJKb9nGtJXxJsJN97lKKJV3Spz5f9%2B0VpQn6T4sqjumHbkSYGrUORSum7vczYH332BwklTw3n3aAbhhZNILicTbQQZ3fObY6g4SX7VOiND02ql%2B%2BUJuEs6Zh4Du9demZUPd3cEQqD6wAevai4fwiT2Xm89es9kuSb4vPY4ZeY48y4pxIcYLm3%2BTbzsGCiF605NuNmwvD7MeQ%2Fm%2Fsnil6ws%2BTLoJRWMFs884%2BcHnC6nBwOYdlG4e9%2F30TBwPjl5Ys1BXLxbeeuYriAWQAK%2B63in8ClMBvnrx61g%2FCkAyAIY%2B%2FAeMjFdv02vP%2BCfuyvfDWthTURs0yVLiNlRhiAxo1vWRjezjEPFbE17WQN%2FWd5wHTW0%3D&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmore-ads-migration-offers%2B80261%2Cmclics%2Fdynamic-yield-factor%2B73918%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fgmv-predictor%2B52393%2Cmclics%2Fmore-ads-migration%2B58320%2Cmclics%2Fdiscard-bid-lt-min%2B45363#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=9&tracking_id=&wid=MLB4323739532&sid=offers
Smart Tv 50 Britânia Btv50va4regb Roku Tv Led Dolby Audio,Por 123 Comprou,"R$ 3.358,90",Frete grátis,https://www.mercadolivre.com.br/smart-tv-50-britnia-btv50va4regb-roku-tv-led-dolby-audio/p/MLB45945628?pdp_filters=item_id%3AMLB3973242543#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=10&tracking_id=&wid=MLB3973242543&sid=offers
Cafeteira Portátil Nescafé Dolce Gusto Arno Mini Me Automática Preta Para Cápsulas Monodose 127v,Por Dolce Gusto,"R$ 579,90",Frete grátis,https://www.mercadolivre.com.br/cafeteira-portatil-nescafe-dolce-gusto-arno-mini-me-automatica-preta-para-capsulas-monodose-127v/p/MLB15154779?pdp_filters=item_id%3AMLB2789667558#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=11&tracking_id=&wid=MLB2789667558&sid=offers
Creatina Monohidratada Pura 1kg Dark Lab Unidade Sem Sabor,Por Dark Lab,"R$ 199,90",Frete grátis,https://www.mercadolivre.com.br/creatina-monohidratada-pura-1kg-dark-lab-unidade-sem-sabor/p/MLB25929487?pdp_filters=item_id%3AMLB4812130742#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=12&tracking_id=&wid=MLB4812130742&sid=offers
Apple iPhone 15 (128 Gb) - Azul - Distribuidor Autorizado,Por Apple,"R$ 7.209,40",Frete grátis,https://www.mercadolivre.com.br/apple-iphone-15-128-gb-azul-distribuidor-autorizado/p/MLB1027172667?pdp_filters=item_id%3AMLB4408547152#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=13&tracking_id=&wid=MLB4408547152&sid=offers
"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, Até 4.4ghz, 8 Mb L3 Cache), Windows 11 Home, 8gb, 256gb Ssd, Uhd Graphics, 15.6'' Full Hd Led, 1.55kg",Por Vikings,"R$ 4.165,90",Frete grátis,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-u300-120-ghz-ate-44ghz-8-mb-l3-cache-windows-11-home-8gb-256gb-ssd-uhd-graphics-156-full-hd-led-155kg/p/MLB40347107?pdp_filters=item_id%3AMLB5194930972#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=14&tracking_id=&wid=MLB5194930972&sid=offers
Microfone Hollyland Lark M2 Duo Combo Duplo Para 2 Pessoas Cor Preto,vendedor nao identificado,"R$ 1.505,90",Frete grátis,https://www.mercadolivre.com.br/microfone-hollyland-lark-m2-duo-combo-duplo-para-2-pessoas-cor-preto/p/MLB34016199?pdp_filters=item_id%3AMLB4988379390#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=15&tracking_id=&wid=MLB4988379390&sid=offers
Smart Tv 40'' Britânia Btv40m9gr2cgb Roku Led Dolby Audio,Por 123 Comprou,"R$ 2.665,90",Frete grátis,https://www.mercadolivre.com.br/smart-tv-40-britnia-btv40m9gr2cgb-roku-led-dolby-audio/p/MLB44869624?pdp_filters=item_id%3AMLB5303399070#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=16&tracking_id=&wid=MLB5303399070&sid=offers
Parafusadeira Furadeira De Impacto Profissional 21v Modelo Tb-21px 2 Baterias Com Maleta The Black Tools 110/220v 60hz Amarelo,Por THE BLACK TOOLS,"R$ 415,24",Frete grátis,https://www.mercadolivre.com.br/parafusadeira-furadeira-de-impacto-profissional-21v-modelo-tb-21px-2-baterias-com-maleta-the-black-tools-110220v-60hz-amarelo/p/MLB30144703?pdp_filters=item_id%3AMLB4400858714#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=17&tracking_id=&wid=MLB4400858714&sid=offers
Mercado Pago Point Pro3 Maquininha Cartao 4g C/ Tela Touch,Por Mercado Pago,"R$ 199,90",Frete grátis,https://produto.mercadolivre.com.br/MLB-5237328050-mercado-pago-point-pro3-maquininha-cartao-4g-c-tela-touch-_JM#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=18&tracking_id=
Camiseta Basica Tech Insider Masculina,Por Insider,"R$ 159,99",Frete grátis,https://produto.mercadolivre.com.br/MLB-3193860320-camiseta-basica-tech-insider-masculina-_JM#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=19&tracking_id=
Smartphone Moto G85 5g - 256gb 16gb Ram Boost 50mp Sony Ai Camera Tela Infinita Poled Nfc - Grafite,Por Motorola,"R$ 2.299,90",Frete grátis,https://www.mercadolivre.com.br/smartphone-moto-g85-5g-256gb-16gb-ram-boost-50mp-sony-ai-camera-tela-infinita-poled-nfc-grafite/p/MLB38621319?pdp_filters=item_id%3AMLB3817328159#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=20&tracking_id=&wid=MLB3817328159&sid=offers
