Nome,Vendedor,Preço,Frete,Link da oferta
Lavadora De Alta Pressão Kärcher K2 Plus 1740psi 1400w 220v,Por Mercado Livre,"R$ 569,90",Frete grátis,https://www.mercadolivre.com.br/lavadora-de-alta-presso-krcher-k2-plus-1740psi-1400w-220v/p/MLB24652609?pdp_filters=item_id%3AMLB5045786754#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=21&tracking_id=&wid=MLB5045786754&sid=offers
Smart Tv Samsung Un50du7700gxzd 50 4k Crystal,Por Vikings,"R$ 4.165,90",Frete grátis,https://www.mercadolivre.com.br/smart-tv-samsung-un50du7700gxzd-50-4k-crystal/p/MLB35479788?pdp_filters=item_id%3AMLB5085254404#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=22&tracking_id=&wid=MLB5085254404&sid=offers
Oster Oven Fryer Ofrt780 Preto 127v 1800w,Por Mercado Livre,R$ 899,Frete grátis,https://www.mercadolivre.com.br/oster-oven-fryer-ofrt780-preto-127v-1800w/p/MLB21885542?pdp_filters=item_id%3AMLB4125868446#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=23&tracking_id=&wid=MLB4125868446&sid=offers
Short Modelador Lupo Original Diminui Barriga Levanta Bumbum,Por Osure,"R$ 49,99",,https://produto.mercadolivre.com.br/MLB-2689454516-short-modelador-lupo-original-diminui-barriga-levanta-bumbum-_JM#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=24&tracking_id=
Notebook Samsung Galaxy Book Go Snapdragon 7c Kryo 468 Octa-core 4gb Ram 128gb Ssd 14 Full Hd W11 Com Office 365 Np340xla-k07br,Por Vikings,"R$ 3.165,90",Frete grátis,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book-go-snapdragon-7c-kryo-468-octa-core-4gb-ram-128gb-ssd-14-full-hd-w11-com-office-365-np340xla-k07br/p/MLB45209382?pdp_filters=item_id%3AMLB5240475880#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=25&tracking_id=&wid=MLB5240475880&sid=offers
Smartphone Motorola Moto G24 - 128gb 8gb (4gb Ram+4gb Ram Boost) Ai Camera 50mp Night Vision - Grafite,Por Motorola,"R$ 1.099,90",Frete grátis,https://www.mercadolivre.com.br/smartphone-motorola-moto-g24-128gb-8gb-4gb-ram4gb-ram-boost-ai-camera-50mp-night-vision-grafite/p/MLB34079118?pdp_filters=item_id%3AMLB4484849730#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=26&tracking_id=&wid=MLB4484849730&sid=offers
Ventilador De Teto Bivolt C/ Controle 6 Vel. Fenix Ventisol 110v/220v,Por Melhor para Voce,"R$ 329,83",Frete grátis,https://www.mercadolivre.com.br/ventilador-de-teto-bivolt-c-controle-6-vel-fenix-ventisol-110v220v/p/MLB35556218?pdp_filters=item_id%3AMLB3936774559#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=27&tracking_id=&wid=MLB3936774559&sid=offers
Smart Tv Samsung Un32t4300a 32 Hd Led,Por Samsung,"R$ 2.299,50",Frete grátis,https://www.mercadolivre.com.br/smart-tv-samsung-un32t4300a-32-hd-led/p/MLB15822520?pdp_filters=item_id%3AMLB1632127417#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=28&tracking_id=&wid=MLB1632127417&sid=offers
Creatina Monohidratada Pura 500g Dark Lab Unidade,Por Dark Lab,"R$ 93,62",,https://www.mercadolivre.com.br/creatina-monohidratada-pura-500g-dark-lab-unidade/p/MLB26796581?pdp_filters=item_id%3AMLB4812143184#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=29&tracking_id=&wid=MLB4812143184&sid=offers
Console Sony Playstation 5 Digital Slim 1tb Branco + Jogos Returnal E Ratchet & Clank + Controle Sem Fio Dualsense Branco,Por Webfones,"R$ 4.999,90",Chegará grátis amanhã,https://www.mercadolivre.com.br/console-sony-playstation-5-digital-slim-1tb-branco-jogos-returnal-e-ratchet-clank-controle-sem-fio-dualsense-branco/p/MLB37494438?pdp_filters=item_id%3AMLB5283914980#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=30&tracking_id=&wid=MLB5283914980&sid=offers
"Notebook Samsung Galaxy Book4 Intel® Core I5-1335u (1.3 Ghz, Até 4.6ghz, 12 Mb L3 Cache), Windows 11 Home, 16gb, 512gb Ssd, Iris Xe, 15.6'' Full Hd Led, 1.55kg",Por Samsung,"R$ 3.999,90",Frete grátis,https://www.mercadolivre.com.br/notebook-samsung-galaxy-book4-intel-core-i5-1335u-13-ghz-ate-46ghz-12-mb-l3-cache-windows-11-home-16gb-512gb-ssd-iris-xe-156-full-hd-led-155kg/p/MLB37044192?pdp_filters=item_id%3AMLB4736030054#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=31&tracking_id=&wid=MLB4736030054&sid=offers
Smartphone Motorola Moto G04s - 128gb 8gb (4gb Ram+4gb Ram Boost) Ai Camera 16mp Sensor Fps Lateral,Por Motorola,"R$ 899,70",Frete grátis,https://www.mercadolivre.com.br/smartphone-motorola-moto-g04s-128gb-8gb-4gb-ram4gb-ram-boost-ai-camera-16mp-sensor-fps-lateral/p/MLB36337426?pdp_filters=item_id%3AMLB3683576875#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=32&tracking_id=&wid=MLB3683576875&sid=offers
Genérica Portátil Hy300 Mini Projetor Branco De 4k,vendedor nao identificado,"R$ 235,99",Chegará grátis amanhã,https://www.mercadolivre.com.br/generica-portatil-hy300-mini-projetor-branco-de-4k/p/MLB27472599?pdp_filters=item_id%3AMLB3916426879#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=33&tracking_id=&wid=MLB3916426879&sid=offers
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa Webos,Por Digital ProShop,"R$ 1.199,99",Chegará grátis amanhã,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-webos/p/MLB37929806?pdp_filters=item_id%3AMLB5275600846#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=34&tracking_id=&wid=MLB5275600846&sid=offers
Ventilador De Chão Coluna Ajustável Eco 3 Velocidades Turbo,vendedor nao identificado,"R$ 239,61",Frete grátis,https://produto.mercadolivre.com.br/MLB-3967619231-ventilador-de-cho-coluna-ajustavel-eco-3-velocidades-turbo-_JM#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=35&tracking_id=
Monitor Pc LG 19.5'' 20mk400h-b Led Hd Hdmi Vga (d-sub) 75hz 2ms(gtg) Ajuste De Inclinação Reader Mode,Por Eshop,"R$ 574,41",Frete grátis,https://www.mercadolivre.com.br/monitor-pc-lg-195-20mk400h-b-led-hd-hdmi-vga-d-sub-75hz-2msgtg-ajuste-de-inclinaco-reader-mode/p/MLB15121865?pdp_filters=item_id%3AMLB3926952103#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=36&tracking_id=&wid=MLB3926952103&sid=offers
Lavadora De Alta Pressão Kärcher K2 Plus 1740psi 1400w 110v,Por Mercado Livre,"R$ 569,90",Frete grátis,https://www.mercadolivre.com.br/lavadora-de-alta-presso-krcher-k2-plus-1740psi-1400w-110v/p/MLB24128731?pdp_filters=item_id%3AMLB5045786750#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=37&tracking_id=&wid=MLB5045786750&sid=offers
Smartphone Motorola Moto G34 5g - 128gb 8gb (4gb Ram+4gb Ram Boost) Ai Camera 50mp Nfc - Preto,Por Motorola,"R$ 1.399,90",Frete grátis,https://www.mercadolivre.com.br/smartphone-motorola-moto-g34-5g-128gb-8gb-4gb-ram4gb-ram-boost-ai-camera-50mp-nfc-preto/p/MLB29736241?pdp_filters=item_id%3AMLB4433686558#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=38&tracking_id=&wid=MLB4433686558&sid=offers
Smart Tv Samsung Ls32betblggxzd 32 Hd Led,Por Vikings,"R$ 1.798,90",Frete grátis,https://www.mercadolivre.com.br/smart-tv-samsung-ls32betblggxzd-32-hd-led/p/MLB30999973?pdp_filters=item_id%3AMLB5017144176#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=39&tracking_id=&wid=MLB5017144176&sid=offers
Ventilador Teto Aires Branco 3 Pás Controle Remoto Luminária Silencioso Inverter Bivolt Ventisol,Por INPOWER,"R$ 317,05",Frete grátis,https://www.mercadolivre.com.br/ventilador-teto-aires-branco-3-pas-controle-remoto-luminaria-silencioso-inverter-bivolt-ventisol/p/MLB20963980?pdp_filters=item_id%3AMLB5173838570#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=40&tracking_id=&wid=MLB5173838570&sid=offers
Câmera De Segurança Fergusom Lâmpada Ip Wifi Com Visão Noturna Interna Externa App Yoosee Espiã 360º Cor Branco,vendedor nao identificado,"R$ 69,90",,https://www.mercadolivre.com.br/cmera-de-seguranca-fergusom-lmpada-ip-wifi-com-viso-noturna-interna-externa-app-yoosee-espi-360-cor-branco/p/MLB28574077?pdp_filters=item_id%3AMLB3964531331#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=41&tracking_id=&wid=MLB3964531331&sid=offers
Creatina Monohidratada 500g Soldiers Nutrition Sabor Natural,Por Soldiers Nutrition,"R$ 129,90",Chegará amanhã,https://www.mercadolivre.com.br/creatina-monohidratada-500g-soldiers-nutrition-sabor-natural/p/MLB18725308?pdp_filters=item_id%3AMLB2794699684#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=42&tracking_id=&wid=MLB2794699684&sid=offers
Apple iPhone 13 (128 Gb) - Estelar - Distribuidor Autorizado,Por Apple,"R$ 7.599,89",Frete grátis,https://www.mercadolivre.com.br/apple-iphone-13-128-gb-estelar-distribuidor-autorizado/p/MLB1018500855?pdp_filters=item_id%3AMLB3582540395#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=43&tracking_id=&wid=MLB3582540395&sid=offers
Lavadora De Alta Pressão Philco Plp2300 1750psi 12 Mpa 1500w Cor Azul 127v,Por Mercado Livre,"R$ 479,71",Frete grátis,https://www.mercadolivre.com.br/lavadora-de-alta-presso-philco-plp2300-1750psi-12-mpa-1500w-cor-azul-127v/p/MLB35955851?pdp_filters=item_id%3AMLB3756638061#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=44&tracking_id=&wid=MLB3756638061&sid=offers
Smart Tv 65'' Crystal 65du8000 Uhd 4k 2024 Samsung Cinza Titan,Por Samsung,"R$ 7.165,90",Frete grátis,https://www.mercadolivre.com.br/smart-tv-65-crystal-65du8000-uhd-4k-2024-samsung-cinza-titan/p/MLB36336808?pdp_filters=item_id%3AMLB4660119566#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=45&tracking_id=&wid=MLB4660119566&sid=offers
Projetor Portátil 4k Hd Android 11.0 Smart Wifi 5g Bluetooth,vendedor nao identificado,"R$ 339,90",Chegará grátis amanhã,https://produto.mercadolivre.com.br/MLB-3533684445-projetor-portatil-4k-hd-android-110-smart-wifi-5g-bluetooth-_JM#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=46&tracking_id=
Kit Câmera Lente Dupla Externa + Cartão De Memória Sd 64gb,vendedor nao identificado,"R$ 289,18",Chegará grátis amanhã,https://produto.mercadolivre.com.br/MLB-5151213552-kit-cmera-lente-dupla-externa-carto-de-memoria-sd-64gb-_JM#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=47&tracking_id=
Ventilador Super Power Mondial 30cm Vsp-30-ap 6 Pás 60w,Por Loi Brasil,"R$ 197,52",Chegará grátis amanhã,https://www.mercadolivre.com.br/ventilador-super-power-mondial-30cm-vsp-30-ap-6-pas-60w/p/MLB18932160?pdp_filters=item_id%3AMLB4262794726#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=48&tracking_id=&wid=MLB4262794726&sid=offers
Espumante Cava Freixenet Cordon Negro Brut 750ml,vendedor nao identificado,"R$ 88,90",,https://www.mercadolivre.com.br/espumante-cava-freixenet-cordon-negro-brut-750ml/p/MLB18308293?pdp_filters=item_id%3AMLB2653564700#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=49&tracking_id=&wid=MLB2653564700&sid=offers
Apple iPhone 15 (128 Gb) - Preto - Distribuidor Autorizado,Por Apple,"R$ 7.209,40",Frete grátis,https://www.mercadolivre.com.br/apple-iphone-15-128-gb-preto-distribuidor-autorizado/p/MLB1027172677?pdp_filters=item_id%3AMLB4408548448#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=50&tracking_id=&wid=MLB4408548448&sid=offers
Smart Tv Led 32'' S5400af Full Hd Android Tv Tcl 127/220v,Por TCL,"R$ 1.439,50",Frete grátis,https://www.mercadolivre.com.br/smart-tv-led-32-s5400af-full-hd-android-tv-tcl-127220v/p/MLB26499404?pdp_filters=item_id%3AMLB3459543991#polycard_client=offers&deal_print_id=a05a7a14-c24a-4222-ba2c-ef185bf22b42&position=51&tracking_id=&wid=MLB3459543991&sid=offers
